名稱,高度,等,TWD97緯度,TWD97經度,所在地
更孟山,"2,531.64 ",Ⅱ,24.22411528 ,121.23025722 ,南投仁愛 和平
卡拉寶,"2,396.78 ",Ⅱ,24.17735553 ,121.39942711 ,秀林
見晴台,"1,689.27 ",Ⅱ,24.02028933 ,121.40438203 ,秀林
無明山,"3,450.66 ",Ⅱ,24.25534289 ,121.38467628 ,和平 秀林
北合歡山,"3,422.25 ",Ⅱ,24.18149900 ,121.28159494 ,南投仁愛
二子山,"2,565.07 ",Ⅱ,24.25679586 ,121.56998597 ,秀林
能高山南峰,"3,349.44 ",Ⅱ,23.96536539 ,121.27809475 ,南投仁愛 秀林
大安山,"2,828.32 ",Ⅱ,23.81858239 ,121.31327442 ,萬榮
卓社大山,"3,368.81 ",Ⅱ,23.83456144 ,121.11583211 ,南投仁愛 南投信義
榮山,"2,383.41 ",Ⅱ,24.05088922 ,121.47768322 ,秀林
西吉南山,"2,693.94 ",Ⅱ,24.32009214 ,121.48716244 ,秀林
馬海僕富士山,"2,617.46 ",Ⅱ,23.98303072 ,121.20065472 ,南投仁愛
西寶山,"1,795.28 ",Ⅱ,24.21228700 ,121.46680422 ,秀林
干卓萬山,"3,283.77 ",Ⅱ,23.87603603 ,121.13900075 ,南投仁愛
螺婆間山,"1,757.72 ",Ⅱ,23.89732936 ,121.07155722 ,南投仁愛
佳陽山,"3,314.15 ",Ⅱ,24.30663283 ,121.18800817 ,和平
太魯閣大山,"3,282.91 ",Ⅱ,24.07907594 ,121.42098286 ,秀林
千古寒山,"1,986.67 ",Ⅱ,23.87511186 ,121.38118300 ,秀林
三角峰,"2,375.75 ",Ⅱ,24.09756683 ,121.19186292 ,南投仁愛
平岩山,"2,827.47 ",Ⅱ,24.34652272 ,121.35444147 ,和平
閂山,"3,168.27 ",Ⅱ,24.25870847 ,121.30987875 ,和平
關頭山,"1,535.53 ",Ⅱ,23.98912686 ,121.10057811 ,南投仁愛
奇萊主山南峰,"3,358.02 ",Ⅱ,24.06121267 ,121.27981797 ,南投仁愛 秀林
望台山,"2,906.59 ",Ⅱ,23.94332011 ,121.32934964 ,秀林
泰矢生山,"2,444.31 ",Ⅱ,24.59407844 ,121.37258933 ,復興 尖石
那是山,"1,519.91 ",Ⅱ,24.75601475 ,121.31009047 ,復興
北插天山,"1,727.84 ",Ⅱ,24.79201183 ,121.45263736 ,三峽 烏來
夫婦山,"1,870.25 ",Ⅱ,24.72292158 ,121.40272300 ,復興
盡尾山,"1,841.00 ",Ⅱ,24.40871742 ,120.99570953 ,泰安
鹿場大山,"2,617.75 ",Ⅱ,24.49713225 ,121.07071369 ,五峰 泰安
面托油山,"1,798.31 ",Ⅱ,24.56763717 ,121.13429153 ,五峰
木名地山,"2,574.78 ",Ⅱ,24.55044800 ,121.27477622 ,尖石
結城山,"2,475.47 ",Ⅱ,24.50724619 ,121.17845939 ,五峰 泰安
大霸尖山,"3,491.51 ",Ⅱ,24.45774917 ,121.25804153 ,尖石 泰安
中山,"2,631.70 ",Ⅱ,24.44599969 ,121.15066856 ,泰安
合流山,"2,533.01 ",Ⅱ,24.35994489 ,121.06213153 ,泰安
稍來山,"2,307.49 ",Ⅱ,24.23759567 ,120.97144172 ,和平
小雪山,"2,997.19 ",Ⅱ,24.29616072 ,121.03943439 ,泰安 和平
大雪山,"3,529.66 ",Ⅱ,24.33075336 ,121.12119206 ,泰安 和平
